Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

559       1 00000070h 0Ch 
560       1 00000074h 0Ch 
561       1 00000070h 0Ch 
562       1 00000074h 0Ch 
563       1 00000070h 0Ch 
564       1 00000074h 0Ch 
565       1 00000070h 0Ch 
566       1 00000074h 0Ch 
567       1 00000070h 0Ch 
568       1 00000074h 0Ch 
569       1 00000070h 0Ch 
570       1 00000074h 0Ch 
571       1 00000070h 0Ch 
572       1 00000074h 0Ch 
573       1 00000070h 0Ch 
574       1 00000074h 0Ch 
575       1 00000070h 0Ch 
576       1 00000074h 0Ch 
577       1 00000070h 0Ch 
578       1 00000074h 0Ch 
579       1 00000070h 0Ch 
580       1 00000074h 0Ch 
581       1 00000070h 0Ch 
582       1 00000074h 0Ch 
583       1 00000070h 0Ch 
584       1 00000074h 0Ch 
585       1 00000070h 0Ch 
586       1 00000074h 0Ch 
587       1 00000070h 0Ch 
588       1 00000074h 0Ch 
589       1 00000070h 0Ch 
590       1 00000074h 0Ch 
591       1 00000070h 0Ch 
592       1 00000074h 0Ch 
593       1 00000070h 0Ch 
594       1 00000074h 0Ch 
595       1 00000070h 0Ch 
596       1 00000074h 0Ch 
597       1 00000070h 0Ch 
598       1 00000074h 0Ch 
599       1 00000070h 0Ch 
600       1 00000074h 0Ch 
601       1 00000070h 0Ch 
602       1 00000074h 0Ch 
603       1 00000070h 0Ch 
604       1 00000074h 0Ch 
605       1 00000070h 0Ch 
606       1 00000074h 0Ch 
607       1 00000070h 0Ch 
608       1 00000074h 0Ch 
609       1 00000070h 0Ch 
610       1 00000074h 0Ch 
611       1 00000070h 0Ch 
612       1 00000074h 0Ch 
613       1 00000070h 0Ch 
614       1 00000074h 0Ch 
615       1 00000070h 0Ch 
616       1 00000074h 0Ch 
617       1 00000070h 0Ch 
618       1 00000074h 0Ch 
619       1 00000070h 0Ch 
620       1 00000074h 0Ch 
621       1 00000070h 0Ch 
622       1 00000074h 0Ch 
623       1 00000070h 0Ch 
624       1 00000074h 0Ch 
625       1 00000070h 0Ch 
626       1 00000074h 0Ch 
627       1 00000070h 0Ch 
628       1 00000074h 0Ch 
629       1 00000070h 0Ch 
630       1 00000074h 0Ch 
631       1 00000070h 0Ch 
632       1 00000074h 0Ch 
633       1 00000070h 0Ch 
634       1 00000074h 0Ch 
635       1 00000070h 0Ch 
636       1 00000074h 0Ch 
637       1 00000070h 0Ch 
638       1 00000074h 0Ch 
639       1 00000070h 0Ch 
640       1 00000074h 0Ch 
641       1 00000070h 0Ch 
642       1 00000074h 0Ch 
643       1 00000070h 0Ch 
644       1 00000074h 0Ch 
645       1 00000070h 0Ch 
646       1 00000074h 0Ch 
647       1 00000070h 0Ch 
648       1 00000074h 0Ch 
649       1 00000070h 0Ch 
650       1 00000074h 0Ch 
651       1 00000070h 0Ch 
652       1 00000074h 0Ch 
653       1 00000070h 0Ch 
654       1 00000074h 0Ch 
655       1 00000070h 0Ch 
656       1 00000074h 0Ch 
657       1 00000070h 0Ch 
658       1 00000074h 0Ch 
659       1 00000070h 0Ch 
660       1 00000074h 0Ch 
661       1 00000070h 0Ch 
662       1 00000074h 0Ch 
663       1 00000070h 0Ch 
664       1 00000074h 0Ch 
665       1 00000070h 0Ch 
666       1 00000074h 0Ch 
667       1 00000070h 0Ch 
668       1 00000074h 0Ch 
669       1 00000070h 0Ch 
670       1 00000074h 0Ch 
671       1 00000070h 0Ch 
672       1 00000074h 0Ch 
673       1 00000070h 0Ch 
674       1 00000074h 0Ch 
